"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","tag","transcript_id","transcript_type","transcript_name","exon_number","exon_id","hgnc_id","havana_gene","transcript_support_level","ont","havana_transcript","protein_id","ccdsid","artif_dupl","is_tf"
"chr1",180230264,180278984,48721,"+","HAVANA","gene",NA,NA,"ENSG00000121454.6","protein_coding","LHX4","2",NA,NA,NA,NA,NA,NA,"HGNC:21734","OTTHUMG00000035115.4",NA,NA,NA,NA,NA,NA,TRUE
"chr1",197911902,197935478,23577,"+","HAVANA","gene",NA,NA,"ENSG00000143355.16","protein_coding","LHX9","1",NA,NA,NA,NA,NA,NA,"HGNC:14222","OTTHUMG00000035656.9",NA,NA,NA,NA,NA,NA,TRUE
"chr1",213983181,214041510,58330,"+","HAVANA","gene",NA,NA,"ENSG00000117707.17","protein_coding","PROX1","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:9459","OTTHUMG00000036946.9",NA,NA,NA,NA,NA,NA,TRUE
"chr1",220879431,220885059,5629,"+","HAVANA","gene",NA,NA,"ENSG00000136630.13","protein_coding","HLX","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:4978","OTTHUMG00000037352.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",45005182,45009452,4271,"-","HAVANA","gene",NA,NA,"ENSG00000170577.8","protein_coding","SIX2","2",NA,NA,NA,NA,NA,NA,"HGNC:10888","OTTHUMG00000152421.3",NA,NA,NA,NA,NA,NA,TRUE
"chr2",63050057,63057836,7780,"+","HAVANA","gene",NA,NA,"ENSG00000115507.10","protein_coding","OTX1","1",NA,NA,NA,NA,NA,NA,"HGNC:8521","OTTHUMG00000129454.4",NA,NA,NA,NA,NA,NA,TRUE
"chr2",72916260,72936071,19812,"+","HAVANA","gene",NA,NA,"ENSG00000135638.14","protein_coding","EMX1","2",NA,NA,NA,NA,NA,NA,"HGNC:3340","OTTHUMG00000129778.8",NA,NA,NA,NA,NA,NA,TRUE
"chr2",113215997,113278921,62925,"-","HAVANA","gene",NA,NA,"ENSG00000125618.18","protein_coding","PAX8","1",NA,NA,NA,NA,NA,NA,"HGNC:8622","OTTHUMG00000128529.12",NA,NA,NA,NA,NA,NA,TRUE
"chr2",161416297,161425870,9574,"+","HAVANA","gene",NA,NA,"ENSG00000136535.15","protein_coding","TBR1","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:11590","OTTHUMG00000153888.3",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176077472,176083962,6491,"-","HAVANA","gene",NA,NA,"ENSG00000174279.5","protein_coding","EVX2","2",NA,NA,NA,NA,NA,NA,"HGNC:3507","OTTHUMG00000154173.2",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176092721,176095944,3224,"+","HAVANA","gene",NA,NA,"ENSG00000128714.6","protein_coding","HOXD13","1",NA,NA,NA,NA,NA,NA,"HGNC:5136","OTTHUMG00000132431.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176099795,176102489,2695,"+","HAVANA","gene",NA,NA,"ENSG00000170178.7","protein_coding","HOXD12","2",NA,NA,NA,NA,NA,NA,"HGNC:5135","OTTHUMG00000150358.5",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176104216,176109754,5539,"+","HAVANA","gene",NA,NA,"ENSG00000128713.14","protein_coding","HOXD11","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5134","OTTHUMG00000132510.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176108790,176119937,11148,"+","HAVANA","gene",NA,NA,"ENSG00000128710.6","protein_coding","HOXD10","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5133","OTTHUMG00000132511.5",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176122719,176124937,2219,"+","HAVANA","gene",NA,NA,"ENSG00000128709.13","protein_coding","HOXD9","2",NA,NA,NA,NA,NA,NA,"HGNC:5140","OTTHUMG00000132516.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176129694,176132695,3002,"+","HAVANA","gene",NA,NA,"ENSG00000175879.9","protein_coding","HOXD8","1",NA,NA,NA,NA,NA,NA,"HGNC:5139","OTTHUMG00000132513.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176136612,176173102,36491,"+","HAVANA","gene",NA,NA,"ENSG00000128652.12","protein_coding","HOXD3","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5137","OTTHUMG00000187566.2",NA,NA,NA,NA,NA,NA,TRUE
"chr2",176151550,176153226,1677,"+","HAVANA","gene",NA,NA,"ENSG00000170166.6","protein_coding","HOXD4","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5138","OTTHUMG00000132515.5",NA,NA,NA,NA,NA,NA,TRUE
"chr2",199269505,199471266,201762,"-","HAVANA","gene",NA,NA,"ENSG00000119042.18","protein_coding","SATB2","2",NA,NA,NA,NA,NA,NA,"HGNC:21637","OTTHUMG00000132767.6",NA,NA,NA,NA,NA,NA,TRUE
"chr2",236165236,236168386,3151,"-","HAVANA","gene",NA,NA,"ENSG00000168505.7","protein_coding","GBX2","2",NA,NA,NA,NA,NA,NA,"HGNC:4186","OTTHUMG00000133294.4",NA,NA,NA,NA,NA,NA,TRUE
"chr3",62369681,62374324,4644,"-","HAVANA","gene",NA,NA,"ENSG00000153266.13","protein_coding","FEZF2","2",NA,NA,NA,NA,NA,NA,"HGNC:13506","OTTHUMG00000158705.2",NA,NA,NA,NA,NA,NA,TRUE
"chr3",128479427,128493201,13775,"-","HAVANA","gene",NA,NA,"ENSG00000179348.13","protein_coding","GATA2","2",NA,NA,NA,NA,NA,NA,"HGNC:4171","OTTHUMG00000159689.5",NA,NA,NA,NA,NA,NA,TRUE
"chr3",137764315,137766334,2020,"+","HAVANA","gene",NA,NA,"ENSG00000168875.3","protein_coding","SOX14","2","retrogene",NA,NA,NA,NA,NA,"HGNC:11193","OTTHUMG00000159757.2",NA,NA,NA,NA,NA,NA,TRUE
"chr3",181711925,181714436,2512,"+","HAVANA","gene",NA,NA,"ENSG00000181449.4","protein_coding","SOX2","2","retrogene",NA,NA,NA,NA,NA,"HGNC:11195","OTTHUMG00000158222.2",NA,NA,NA,NA,NA,NA,TRUE
"chr4",84491985,84499292,7308,"-","HAVANA","gene",NA,NA,"ENSG00000163623.10","protein_coding","NKX6-1","2",NA,NA,NA,NA,NA,NA,"HGNC:7839","OTTHUMG00000130426.4",NA,NA,NA,NA,NA,NA,TRUE
"chr4",108047545,108168956,121412,"-","HAVANA","gene",NA,NA,"ENSG00000138795.10","protein_coding","LEF1","2",NA,NA,NA,NA,NA,NA,"HGNC:6551","OTTHUMG00000131809.7",NA,NA,NA,NA,NA,NA,TRUE
"chr4",110617423,110642123,24701,"-","HAVANA","gene",NA,NA,"ENSG00000164093.18","protein_coding","PITX2","2",NA,NA,NA,NA,NA,NA,"HGNC:9005","OTTHUMG00000132837.9",NA,NA,NA,NA,NA,NA,TRUE
"chr4",146638893,146642474,3582,"+","HAVANA","gene",NA,NA,"ENSG00000151615.3","protein_coding","POU4F2","2",NA,NA,NA,NA,NA,NA,"HGNC:9219","OTTHUMG00000162045.1",NA,NA,NA,NA,NA,NA,TRUE
"chr4",173524969,173530229,5261,"-","HAVANA","gene",NA,NA,"ENSG00000164107.9","protein_coding","HAND2","2",NA,NA,NA,NA,NA,NA,"HGNC:4808","OTTHUMG00000160775.3",NA,NA,NA,NA,NA,NA,TRUE
"chr5",1877413,1887236,9824,"-","HAVANA","gene",NA,NA,"ENSG00000113430.11","protein_coding","IRX4","1",NA,NA,NA,NA,NA,NA,"HGNC:6129","OTTHUMG00000090411.5",NA,NA,NA,NA,NA,NA,TRUE
"chr5",2745845,2751677,5833,"-","HAVANA","gene",NA,NA,"ENSG00000170561.13","protein_coding","IRX2","1",NA,NA,NA,NA,NA,NA,"HGNC:14359","OTTHUMG00000090377.4",NA,NA,NA,NA,NA,NA,TRUE
"chr5",3595832,3601403,5572,"+","HAVANA","gene",NA,NA,"ENSG00000170549.4","protein_coding","IRX1","2",NA,NA,NA,NA,NA,NA,"HGNC:14358","OTTHUMG00000161632.2",NA,NA,NA,NA,NA,NA,TRUE
"chr5",51383448,51394730,11283,"+","HAVANA","gene",NA,NA,"ENSG00000016082.15","protein_coding","ISL1","2",NA,NA,NA,NA,NA,NA,"HGNC:6132","OTTHUMG00000162281.11",NA,NA,NA,NA,NA,NA,TRUE
"chr5",73444827,73448777,3951,"-","HAVANA","gene",NA,NA,"ENSG00000251493.5","protein_coding","FOXD1","2",NA,NA,NA,NA,NA,NA,"HGNC:3802","OTTHUMG00000162495.5",NA,NA,NA,NA,NA,NA,TRUE
"chr5",77628712,77638713,10002,"-","HAVANA","gene",NA,NA,"ENSG00000171540.8","protein_coding","OTP","2",NA,NA,NA,NA,NA,NA,"HGNC:8518","OTTHUMG00000102171.5",NA,NA,NA,NA,NA,NA,TRUE
"chr5",123089241,123194266,105026,"+","HAVANA","gene",NA,NA,"ENSG00000061455.11","protein_coding","PRDM6","2",NA,NA,NA,NA,NA,NA,"HGNC:9350","OTTHUMG00000150469.4",NA,NA,NA,NA,NA,NA,TRUE
"chr5",171309248,171312139,2892,"+","HAVANA","gene",NA,NA,"ENSG00000164438.6","protein_coding","TLX3","1",NA,NA,NA,NA,NA,NA,"HGNC:13532","OTTHUMG00000163207.4",NA,NA,NA,NA,NA,NA,TRUE
"chr5",173232109,173235311,3203,"-","HAVANA","gene",NA,NA,"ENSG00000183072.10","protein_coding","NKX2-5","1",NA,NA,NA,NA,NA,NA,"HGNC:2488","OTTHUMG00000130522.6",NA,NA,NA,NA,NA,NA,TRUE
"chr5",174724582,174730896,6315,"+","HAVANA","gene",NA,NA,"ENSG00000120149.9","protein_coding","MSX2","1",NA,NA,NA,NA,NA,NA,"HGNC:7392","OTTHUMG00000130556.6",NA,NA,NA,NA,NA,NA,TRUE
"chr6",50713526,50773033,59508,"+","HAVANA","gene",NA,NA,"ENSG00000008197.5","protein_coding","TFAP2D","2",NA,NA,NA,NA,NA,NA,"HGNC:15581","OTTHUMG00000014832.1",NA,NA,NA,NA,NA,NA,TRUE
"chr6",104936616,105083332,146717,"+","HAVANA","gene",NA,NA,"ENSG00000187772.8","protein_coding","LIN28B","2",NA,NA,NA,NA,NA,NA,"HGNC:32207","OTTHUMG00000015290.4",NA,NA,NA,NA,NA,NA,TRUE
"chr7",1232872,1237326,4455,"+","HAVANA","gene",NA,NA,"ENSG00000164853.9","protein_coding","UNCX","2",NA,NA,NA,NA,NA,NA,"HGNC:33194","OTTHUMG00000152022.3",NA,NA,NA,NA,NA,NA,TRUE
"chr7",20782279,20786886,4608,"-","HAVANA","gene",NA,NA,"ENSG00000164651.18","protein_coding","SP8","2",NA,NA,NA,NA,NA,NA,"HGNC:19196","OTTHUMG00000094788.4",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27092993,27096000,3008,"-","HAVANA","gene",NA,NA,"ENSG00000105991.10","protein_coding","HOXA1","1",NA,NA,NA,NA,NA,NA,"HGNC:5099","OTTHUMG00000023207.5",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27100354,27102686,2333,"-","HAVANA","gene",NA,NA,"ENSG00000105996.7","protein_coding","HOXA2","2",NA,NA,NA,NA,NA,NA,"HGNC:5103","OTTHUMG00000023208.7",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27106184,27152583,46400,"-","HAVANA","gene",NA,NA,"ENSG00000105997.23","protein_coding","HOXA3","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5104","OTTHUMG00000023209.11",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27128507,27130780,2274,"-","HAVANA","gene",NA,NA,"ENSG00000197576.15","protein_coding","HOXA4","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5105","OTTHUMG00000023213.8",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27141052,27143681,2630,"-","HAVANA","gene",NA,NA,"ENSG00000106004.5","protein_coding","HOXA5","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5106","OTTHUMG00000023214.4",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27145396,27150603,5208,"-","HAVANA","gene",NA,NA,"ENSG00000106006.6","protein_coding","HOXA6","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5107","OTTHUMG00000023216.9",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27153716,27157936,4221,"-","HAVANA","gene",NA,NA,"ENSG00000122592.8","protein_coding","HOXA7","2",NA,NA,NA,NA,NA,NA,"HGNC:5108","OTTHUMG00000023217.9",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27162438,27175180,12743,"-","HAVANA","gene",NA,NA,"ENSG00000078399.19","protein_coding","HOXA9","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5109","OTTHUMG00000023220.10",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27170605,27180261,9657,"-","HAVANA","gene",NA,NA,"ENSG00000253293.6","protein_coding","HOXA10","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5100","OTTHUMG00000023436.7",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27181157,27185232,4076,"-","HAVANA","gene",NA,NA,"ENSG00000005073.6","protein_coding","HOXA11","1",NA,NA,NA,NA,NA,NA,"HGNC:5101","OTTHUMG00000023437.7",NA,NA,NA,NA,NA,NA,TRUE
"chr7",27193503,27200091,6589,"-","HAVANA","gene",NA,NA,"ENSG00000106031.9","protein_coding","HOXA13","2",NA,NA,NA,NA,NA,NA,"HGNC:5102","OTTHUMG00000023438.10",NA,NA,NA,NA,NA,NA,TRUE
"chr7",97005553,97011040,5488,"+","HAVANA","gene",NA,NA,"ENSG00000006377.11","protein_coding","DLX6","2",NA,NA,NA,NA,NA,NA,"HGNC:2919","OTTHUMG00000154201.7",NA,NA,NA,NA,NA,NA,TRUE
"chr7",155458129,155464831,6703,"+","HAVANA","gene",NA,NA,"ENSG00000164778.4","protein_coding","EN2","2",NA,NA,NA,NA,NA,NA,"HGNC:3343","OTTHUMG00000151354.1",NA,NA,NA,NA,NA,NA,TRUE
"chr7",156994051,157010663,16613,"-","HAVANA","gene",NA,NA,"ENSG00000130675.15","protein_coding","MNX1","1",NA,NA,NA,NA,NA,NA,"HGNC:4979","OTTHUMG00000157181.5",NA,NA,NA,NA,NA,NA,TRUE
"chr8",25841725,26045413,203689,"-","HAVANA","gene",NA,NA,"ENSG00000221818.9","protein_coding","EBF2","2",NA,NA,NA,NA,NA,NA,"HGNC:19090","OTTHUMG00000163838.3",NA,NA,NA,NA,NA,NA,TRUE
"chr8",54457935,54460892,2958,"+","HAVANA","gene",NA,NA,"ENSG00000164736.6","protein_coding","SOX17","2",NA,NA,NA,NA,NA,NA,"HGNC:18122","OTTHUMG00000164377.3",NA,NA,NA,NA,NA,NA,TRUE
"chr8",98944403,98952104,7702,"+","HAVANA","gene",NA,NA,"ENSG00000164920.10","protein_coding","OSR2","2",NA,NA,NA,NA,NA,NA,"HGNC:15830","OTTHUMG00000164640.5",NA,NA,NA,NA,NA,NA,TRUE
"chr9",841690,969090,127401,"+","HAVANA","gene",NA,NA,"ENSG00000137090.12","protein_coding","DMRT1","1",NA,NA,NA,NA,NA,NA,"HGNC:2934","OTTHUMG00000019435.3",NA,NA,NA,NA,NA,NA,TRUE
"chr9",976655,991732,15078,"+","HAVANA","gene",NA,NA,"ENSG00000064218.5","protein_coding","DMRT3","2",NA,NA,NA,NA,NA,NA,"HGNC:13909","OTTHUMG00000019436.4",NA,NA,NA,NA,NA,NA,TRUE
"chr9",14081843,14398983,317141,"-","HAVANA","gene",NA,NA,"ENSG00000147862.18","protein_coding","NFIB","1",NA,NA,NA,NA,NA,NA,"HGNC:7785","OTTHUMG00000021027.8",NA,NA,NA,NA,NA,NA,TRUE
"chr9",36833269,37034268,201000,"-","HAVANA","gene",NA,NA,"ENSG00000196092.14","protein_coding","PAX5","2","ncRNA_host",NA,NA,NA,NA,NA,"HGNC:8619","OTTHUMG00000019907.9",NA,NA,NA,NA,NA,NA,TRUE
"chr9",77019655,77020953,1299,"+","HAVANA","gene",NA,NA,"ENSG00000204612.1","protein_coding","FOXB2","2",NA,NA,NA,NA,NA,NA,"HGNC:23315","OTTHUMG00000020051.2",NA,NA,NA,NA,NA,NA,TRUE
"chr9",112988129,113012192,24064,"-","HAVANA","gene",NA,NA,"ENSG00000228623.9","protein_coding","ZNF883","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:27271","OTTHUMG00000020514.2",NA,NA,NA,NA,NA,NA,TRUE
"chr9",113038377,113056759,18383,"-","HAVANA","gene",NA,NA,"ENSG00000136866.14","protein_coding","ZFP37","2",NA,NA,NA,NA,NA,NA,"HGNC:12863","OTTHUMG00000021019.2",NA,NA,NA,NA,NA,NA,TRUE
"chr9",122202577,122229626,27050,"-","HAVANA","gene",NA,NA,"ENSG00000106852.16","protein_coding","LHX6","1",NA,NA,NA,NA,NA,NA,"HGNC:21735","OTTHUMG00000020601.8",NA,NA,NA,NA,NA,NA,TRUE
"chr9",124001670,124033301,31632,"+","HAVANA","gene",NA,NA,"ENSG00000106689.11","protein_coding","LHX2","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:6594","OTTHUMG00000020647.6",NA,NA,NA,NA,NA,NA,TRUE
"chr9",126613928,126701032,87105,"+","HAVANA","gene",NA,NA,"ENSG00000136944.19","protein_coding","LMX1B","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:6654","OTTHUMG00000020692.10",NA,NA,NA,NA,NA,NA,TRUE
"chr9",132582606,132590252,7647,"+","HAVANA","gene",NA,NA,"ENSG00000125492.11","protein_coding","BARHL1","2",NA,NA,NA,NA,NA,NA,"HGNC:953","OTTHUMG00000020839.3",NA,NA,NA,NA,NA,NA,TRUE
"chr10",8045378,8075198,29821,"+","HAVANA","gene",NA,NA,"ENSG00000107485.18","protein_coding","GATA3","2",NA,NA,NA,NA,NA,NA,"HGNC:4172","OTTHUMG00000017640.8",NA,NA,NA,NA,NA,NA,TRUE
"chr10",75397830,75401764,3935,"-","HAVANA","gene",NA,NA,"ENSG00000165655.17","protein_coding","ZNF503","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:23589","OTTHUMG00000018526.3",NA,NA,NA,NA,NA,NA,TRUE
"chr10",99532942,99536524,3583,"+","HAVANA","gene",NA,NA,"ENSG00000119919.12","protein_coding","NKX2-3","2",NA,NA,NA,NA,NA,NA,"HGNC:7836","OTTHUMG00000018887.4",NA,NA,NA,NA,NA,NA,TRUE
"chr10",100735396,100829944,94549,"+","HAVANA","gene",NA,NA,"ENSG00000075891.24","protein_coding","PAX2","2",NA,NA,NA,NA,NA,NA,"HGNC:8616","OTTHUMG00000018913.5",NA,NA,NA,NA,NA,NA,TRUE
"chr10",101226994,101229463,2470,"-","HAVANA","gene",NA,NA,"ENSG00000138136.7","protein_coding","LBX1","2",NA,NA,NA,NA,NA,NA,"HGNC:16960","OTTHUMG00000018927.4",NA,NA,NA,NA,NA,NA,TRUE
"chr10",117128521,117138301,9781,"-","HAVANA","gene",NA,NA,"ENSG00000148704.13","protein_coding","VAX1","2",NA,NA,NA,NA,NA,NA,"HGNC:12660","OTTHUMG00000019117.5",NA,NA,NA,NA,NA,NA,TRUE
"chr10",123135970,123139423,3454,"+","HAVANA","gene",NA,NA,"ENSG00000188620.11","protein_coding","HMX3","2",NA,NA,NA,NA,NA,NA,"HGNC:5019","OTTHUMG00000019199.6",NA,NA,NA,NA,NA,NA,TRUE
"chr10",129835233,129973053,137821,"-","HAVANA","gene",NA,NA,"ENSG00000108001.16","protein_coding","EBF3","2","ncRNA_host",NA,NA,NA,NA,NA,"HGNC:19087","OTTHUMG00000019265.4",NA,NA,NA,NA,NA,NA,TRUE
"chr11",20156155,20160475,4321,"-","HAVANA","gene",NA,NA,"ENSG00000109851.7","protein_coding","DBX1","2",NA,NA,NA,NA,NA,NA,"HGNC:33185","OTTHUMG00000166043.3",NA,NA,NA,NA,NA,NA,TRUE
"chr11",31784779,31817961,33183,"-","HAVANA","gene",NA,NA,"ENSG00000007372.25","protein_coding","PAX6","1",NA,NA,NA,NA,NA,NA,"HGNC:8620","OTTHUMG00000041447.26",NA,NA,NA,NA,NA,NA,TRUE
"chr11",32387775,32435564,47790,"-","HAVANA","gene",NA,NA,"ENSG00000184937.17","protein_coding","WT1","1",NA,NA,NA,NA,NA,NA,"HGNC:12796","OTTHUMG00000039556.10",NA,NA,NA,NA,NA,NA,TRUE
"chr11",44260440,44310139,49700,"-","HAVANA","gene",NA,NA,"ENSG00000052850.8","protein_coding","ALX4","2",NA,NA,NA,NA,NA,NA,"HGNC:450","OTTHUMG00000166557.4",NA,NA,NA,NA,NA,NA,TRUE
"chr11",128686535,128813267,126733,"+","HAVANA","gene",NA,NA,"ENSG00000151702.18","protein_coding","FLI1","1",NA,NA,NA,NA,NA,NA,"HGNC:3749","OTTHUMG00000165792.5",NA,NA,NA,NA,NA,NA,TRUE
"chr12",53938831,53946544,7714,"+","HAVANA","gene",NA,NA,"ENSG00000123364.5","protein_coding","HOXC13","2",NA,NA,NA,NA,NA,NA,"HGNC:5125","OTTHUMG00000160008.4",NA,NA,NA,NA,NA,NA,TRUE
"chr12",53954903,53958956,4054,"+","HAVANA","gene",NA,NA,"ENSG00000123407.4","protein_coding","HOXC12","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5124","OTTHUMG00000160010.3",NA,NA,NA,NA,NA,NA,TRUE
"chr12",53973126,53977643,4518,"+","HAVANA","gene",NA,NA,"ENSG00000123388.4","protein_coding","HOXC11","1",NA,NA,NA,NA,NA,NA,"HGNC:5123","OTTHUMG00000160011.3",NA,NA,NA,NA,NA,NA,TRUE
"chr12",53985065,53990279,5215,"+","HAVANA","gene",NA,NA,"ENSG00000180818.5","protein_coding","HOXC10","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5122","OTTHUMG00000160031.3",NA,NA,NA,NA,NA,NA,TRUE
"chr12",53994895,54003337,8443,"+","HAVANA","gene",NA,NA,"ENSG00000180806.5","protein_coding","HOXC9","2","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5130","OTTHUMG00000160033.2",NA,NA,NA,NA,NA,NA,TRUE
"chr12",54016931,54056030,39100,"+","HAVANA","gene",NA,NA,"ENSG00000198353.8","protein_coding","HOXC4","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5126","OTTHUMG00000160036.2",NA,NA,NA,NA,NA,NA,TRUE
"chr12",54033050,54035361,2312,"+","HAVANA","gene",NA,NA,"ENSG00000172789.4","protein_coding","HOXC5","1","overlapping_locus",NA,NA,NA,NA,NA,"HGNC:5127","OTTHUMG00000160028.1",NA,NA,NA,NA,NA,NA,TRUE
"chr12",85280220,85301784,21565,"+","HAVANA","gene",NA,NA,"ENSG00000180318.4","protein_coding","ALX1","2",NA,NA,NA,NA,NA,NA,"HGNC:1494","OTTHUMG00000169820.2",NA,NA,NA,NA,NA,NA,TRUE
"chr12",111034165,111350554,316390,"+","HAVANA","gene",NA,NA,"ENSG00000111249.14","protein_coding","CUX2","2","ncRNA_host",NA,NA,NA,NA,NA,"HGNC:19347","OTTHUMG00000169546.4",NA,NA,NA,NA,NA,NA,TRUE
"chr12",114670255,114684175,13921,"-","HAVANA","gene",NA,NA,"ENSG00000135111.16","protein_coding","TBX3","2",NA,NA,NA,NA,NA,NA,"HGNC:11602","OTTHUMG00000169586.3",NA,NA,NA,NA,NA,NA,TRUE
"chr13",27920000,27926313,6314,"+","HAVANA","gene",NA,NA,"ENSG00000139515.6","protein_coding","PDX1","2",NA,NA,NA,NA,NA,NA,"HGNC:6107","OTTHUMG00000016638.3",NA,NA,NA,NA,NA,NA,TRUE
"chr13",27960918,27969315,8398,"-","HAVANA","gene",NA,NA,"ENSG00000165556.10","protein_coding","CDX2","2",NA,NA,NA,NA,NA,NA,"HGNC:1806","OTTHUMG00000016640.6",NA,NA,NA,NA,NA,NA,TRUE
"chr13",99962964,99971767,8804,"-","HAVANA","gene",NA,NA,"ENSG00000139800.9","protein_coding","ZIC5","1",NA,NA,NA,NA,NA,NA,"HGNC:20322","OTTHUMG00000017280.3",NA,NA,NA,NA,NA,NA,TRUE
"chr14",28764329,28770277,5949,"+","HAVANA","gene",NA,NA,"ENSG00000176165.13","protein_coding","FOXG1","2",NA,NA,NA,NA,NA,NA,"HGNC:3811","OTTHUMG00000196007.1",NA,NA,NA,NA,NA,NA,TRUE
"chr14",56799905,56816693,16789,"-","HAVANA","gene",NA,NA,"ENSG00000165588.19","protein_coding","OTX2","2",NA,NA,NA,NA,NA,NA,"HGNC:8522","OTTHUMG00000152338.9",NA,NA,NA,NA,NA,NA,TRUE
