"chrom","ss_start","ss_end","width","strand_structure","prom_seqnames","strand_promoter","prom_start","prom_end","anchor_seqnames","anchor_start","anchor_end","transcript_id","gene_name"
"chr1",47437959,47437995,36,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438220,47438249,29,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438398,47438434,36,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438457,47438488,31,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438862,47438889,27,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",50421639,50421673,34,"+","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423630,50423673,43,"+","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423870,50423898,28,"+","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423630,50423673,43,"+","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",50423870,50423898,28,"+","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",63322345,63322372,27,"+","chr1","+",63320567,63323566,"chr1",63320000,63330000,"ENST00000371116.4","FOXD3"
"chr1",63322736,63322780,44,"+","chr1","+",63320567,63323566,"chr1",63320000,63330000,"ENST00000371116.4","FOXD3"
"chr1",63323309,63323348,39,"+","chr1","+",63320567,63323566,"chr1",63320000,63330000,"ENST00000371116.4","FOXD3"
"chr1",90720061,90720086,25,"+","chr1","+",90717576,90720575,"chr1",90720000,90730000,"ENST00000660766.1","ENSG00000287076"
"chr1",90720061,90720086,25,"+","chr1","+",90717614,90720613,"chr1",90720000,90730000,"ENST00000662386.1","ENSG00000287076"
"chr1",90723843,90723883,40,"+","chr1","+",90721934,90724933,"chr1",90720000,90730000,"ENST00000759598.1","ENSG00000287076"
"chr1",90724087,90724138,51,"+","chr1","+",90721934,90724933,"chr1",90720000,90730000,"ENST00000759598.1","ENSG00000287076"
"chr1",90724558,90724578,20,"+","chr1","+",90721934,90724933,"chr1",90720000,90730000,"ENST00000759598.1","ENSG00000287076"
"chr1",118992566,118992590,24,"+","chr1","+",118991872,118994871,"chr1",118990000,119000000,"ENST00000833594.1","ENSG00000308365"
"chr1",180230042,180230115,73,"+","chr1","+",180228264,180231263,"chr1",180230000,180240000,"ENST00000263726.4","LHX4"
"chr1",180230217,180230244,27,"+","chr1","+",180228264,180231263,"chr1",180230000,180240000,"ENST00000263726.4","LHX4"
"chr1",180230674,180230743,69,"+","chr1","+",180228264,180231263,"chr1",180230000,180240000,"ENST00000263726.4","LHX4"
"chr1",180230764,180230791,27,"+","chr1","+",180228264,180231263,"chr1",180230000,180240000,"ENST00000263726.4","LHX4"
"chr1",180230878,180230941,63,"+","chr1","+",180228264,180231263,"chr1",180230000,180240000,"ENST00000263726.4","LHX4"
"chr1",197911112,197911129,17,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197911244,197911269,25,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197911598,197911634,36,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197911747,197911796,49,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197912424,197912450,26,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197912889,197912934,45,"+","chr1","+",197910491,197913490,"chr1",197910000,197920000,"ENST00000367391.5","LHX9"
"chr1",197911112,197911129,17,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197911244,197911269,25,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197911598,197911634,36,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197911747,197911796,49,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197912424,197912450,26,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197912889,197912934,45,"+","chr1","+",197910505,197913504,"chr1",197910000,197920000,"ENST00000367390.7","LHX9"
"chr1",197915945,197915972,27,"+","chr1","+",197913837,197916836,"chr1",197910000,197920000,"ENST00000561173.5","LHX9"
"chr1",197916034,197916071,37,"+","chr1","+",197913837,197916836,"chr1",197910000,197920000,"ENST00000561173.5","LHX9"
"chr1",197916219,197916234,15,"+","chr1","+",197913837,197916836,"chr1",197910000,197920000,"ENST00000561173.5","LHX9"
"chr1",197915945,197915972,27,"+","chr1","+",197915355,197918354,"chr1",197910000,197920000,"ENST00000367388.4","LHX9"
"chr1",197916034,197916071,37,"+","chr1","+",197915355,197918354,"chr1",197910000,197920000,"ENST00000367388.4","LHX9"
"chr1",197916219,197916234,15,"+","chr1","+",197915355,197918354,"chr1",197910000,197920000,"ENST00000367388.4","LHX9"
"chr1",197918233,197918265,32,"+","chr1","+",197915355,197918354,"chr1",197910000,197920000,"ENST00000367388.4","LHX9"
"chr1",197915945,197915972,27,"+","chr1","+",197915372,197918371,"chr1",197910000,197920000,"ENST00000367387.6","LHX9"
"chr1",197916034,197916071,37,"+","chr1","+",197915372,197918371,"chr1",197910000,197920000,"ENST00000367387.6","LHX9"
"chr1",197916219,197916234,15,"+","chr1","+",197915372,197918371,"chr1",197910000,197920000,"ENST00000367387.6","LHX9"
"chr1",197918233,197918265,32,"+","chr1","+",197915372,197918371,"chr1",197910000,197920000,"ENST00000367387.6","LHX9"
"chr1",213989227,213989248,21,"+","chr1","+",213986517,213989516,"chr1",213980000,213990000,"ENST00000435016.2","PROX1"
"chr1",213989307,213989358,51,"+","chr1","+",213986517,213989516,"chr1",213980000,213990000,"ENST00000435016.2","PROX1"
"chr1",213989378,213989430,52,"+","chr1","+",213986517,213989516,"chr1",213980000,213990000,"ENST00000435016.2","PROX1"
"chr1",220880018,220880056,38,"+","chr1","+",220877443,220880442,"chr1",220880000,220890000,"ENST00000366903.8","HLX"
"chr1",18629997,18630030,33,"-","chr1","-",18629859,18632858,"chr1",18630000,18640000,"ENST00000769462.1","ENSG00000300147"
"chr1",18630573,18630599,26,"-","chr1","-",18629859,18632858,"chr1",18630000,18640000,"ENST00000769462.1","ENSG00000300147"
"chr1",18630882,18630926,44,"-","chr1","-",18629859,18632858,"chr1",18630000,18640000,"ENST00000769462.1","ENSG00000300147"
"chr1",18631217,18631255,38,"-","chr1","-",18629859,18632858,"chr1",18630000,18640000,"ENST00000769462.1","ENSG00000300147"
"chr1",24930073,24930179,106,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",24930193,24930235,42,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",24930452,24930492,40,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",24930607,24930650,43,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",24931319,24931352,33,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",24931762,24931798,36,"-","chr1","-",24929277,24932276,"chr1",24930000,24940000,"ENST00000308873.11","RUNX3"
"chr1",46488394,46488419,25,"-","chr1","-",46488219,46491218,"chr1",46480000,46490000,"ENST00000790591.1","ENSG00000302942"
"chr1",46489205,46489223,18,"-","chr1","-",46488219,46491218,"chr1",46480000,46490000,"ENST00000790591.1","ENSG00000302942"
"chr1",47230933,47230963,30,"-","chr1","-",47230716,47233715,"chr1",47230000,47240000,"ENST00000371884.6","TAL1"
"chr1",47231291,47231321,30,"-","chr1","-",47230716,47233715,"chr1",47230000,47240000,"ENST00000371884.6","TAL1"
"chr1",47231344,47231367,23,"-","chr1","-",47230716,47233715,"chr1",47230000,47240000,"ENST00000371884.6","TAL1"
"chr1",47232229,47232266,37,"-","chr1","-",47230716,47233715,"chr1",47230000,47240000,"ENST00000371884.6","TAL1"
"chr1",47231291,47231321,30,"-","chr1","-",47231226,47234225,"chr1",47230000,47240000,"ENST00000691006.1","TAL1"
"chr1",47231344,47231367,23,"-","chr1","-",47231226,47234225,"chr1",47230000,47240000,"ENST00000691006.1","TAL1"
"chr1",47232229,47232266,37,"-","chr1","-",47231226,47234225,"chr1",47230000,47240000,"ENST00000691006.1","TAL1"
"chr1",47230933,47230963,30,"-","chr1","-",47228772,47231771,"chr1",47230000,47240000,"ENST00000294339.3","TAL1"
"chr1",47231291,47231321,30,"-","chr1","-",47228772,47231771,"chr1",47230000,47240000,"ENST00000294339.3","TAL1"
"chr1",47231344,47231367,23,"-","chr1","-",47228772,47231771,"chr1",47230000,47240000,"ENST00000294339.3","TAL1"
"chr1",47230933,47230963,30,"-","chr1","-",47230415,47233414,"chr1",47230000,47240000,"ENST00000825378.1","ENSG00000307358"
"chr1",47231291,47231321,30,"-","chr1","-",47230415,47233414,"chr1",47230000,47240000,"ENST00000825378.1","ENSG00000307358"
"chr1",47231344,47231367,23,"-","chr1","-",47230415,47233414,"chr1",47230000,47240000,"ENST00000825378.1","ENSG00000307358"
"chr1",47232229,47232266,37,"-","chr1","-",47230415,47233414,"chr1",47230000,47240000,"ENST00000825378.1","ENSG00000307358"
"chr1",47231344,47231367,23,"-","chr1","-",47231343,47234342,"chr1",47230000,47240000,"ENST00000825494.1","ENSG00000307375"
"chr1",47232229,47232266,37,"-","chr1","-",47231343,47234342,"chr1",47230000,47240000,"ENST00000825494.1","ENSG00000307375"
"chr1",47434365,47434404,39,"-","chr1","-",47433642,47436641,"chr1",47430000,47440000,"ENST00000445551.1","FOXD2-AS1"
"chr1",50420910,50420951,41,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50420982,50421041,59,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50422688,50422719,31,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50422841,50422888,47,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50422913,50422941,28,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50423009,50423036,27,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50423193,50423237,44,"-","chr1","-",50420633,50423632,"chr1",50420000,50430000,"ENST00000418121.5","DMRTA2"
"chr1",50422688,50422719,31,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",50422841,50422888,47,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",50422913,50422941,28,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",50423009,50423036,27,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",50423193,50423237,44,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",50424252,50424283,31,"-","chr1","-",50422444,50425443,"chr1",50420000,50430000,"ENST00000404795.4","DMRTA2"
"chr1",63323865,63323894,29,"-","chr1","-",63323747,63326746,"chr1",63320000,63330000,"ENST00000715889.1","ENSG00000293613"
"chr1",63324566,63324600,34,"-","chr1","-",63323747,63326746,"chr1",63320000,63330000,"ENST00000715889.1","ENSG00000293613"
"chr1",63324619,63324675,56,"-","chr1","-",63323747,63326746,"chr1",63320000,63330000,"ENST00000715889.1","ENSG00000293613"
"chr1",63321532,63321586,54,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63322310,63322331,21,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63322604,63322657,53,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63322670,63322709,39,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63322909,63322950,41,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63322970,63323035,65,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63323241,63323293,52,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63323865,63323894,29,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000715890.1","ENSG00000293613"
"chr1",63321532,63321586,54,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63322310,63322331,21,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63322604,63322657,53,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63322670,63322709,39,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63321475,63324474,"chr1",63320000,63330000,"ENST00000690254.2","FOXD3-AS1"
"chr1",63321532,63321586,54,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322310,63322331,21,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322604,63322657,53,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322670,63322709,39,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63321516,63324515,"chr1",63320000,63330000,"ENST00000686970.2","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63324566,63324600,34,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63324619,63324675,56,"-","chr1","-",63322737,63325736,"chr1",63320000,63330000,"ENST00000717766.1","FOXD3-AS1"
"chr1",63321532,63321586,54,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63322310,63322331,21,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63322604,63322657,53,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63322670,63322709,39,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63321459,63324458,"chr1",63320000,63330000,"ENST00000717847.1","FOXD3-AS1"
"chr1",63321532,63321586,54,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63322310,63322331,21,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63322604,63322657,53,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63322670,63322709,39,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63321469,63324468,"chr1",63320000,63330000,"ENST00000717848.1","FOXD3-AS1"
"chr1",63321532,63321586,54,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322310,63322331,21,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322604,63322657,53,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322670,63322709,39,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63321473,63324472,"chr1",63320000,63330000,"ENST00000717768.1","FOXD3-AS1"
"chr1",63322909,63322950,41,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63322970,63323035,65,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63323241,63323293,52,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63323865,63323894,29,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63324566,63324600,34,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63324619,63324675,56,"-","chr1","-",63322751,63325750,"chr1",63320000,63330000,"ENST00000717749.1","FOXD3-AS1"
"chr1",63327813,63327844,31,"-","chr1","-",63325985,63328984,"chr1",63320000,63330000,"ENST00000615405.1","MIR6068"
"chr1",63329863,63329890,27,"-","chr1","-",63328795,63331794,"chr1",63320000,63330000,"ENST00000771635.1","ENSG00000300433"
"chr1",63329920,63329965,45,"-","chr1","-",63328795,63331794,"chr1",63320000,63330000,"ENST00000771635.1","ENSG00000300433"
"chr1",63329863,63329890,27,"-","chr1","-",63329885,63332884,"chr1",63320000,63330000,"ENST00000771637.1","ENSG00000300433"
"chr1",63329920,63329965,45,"-","chr1","-",63329885,63332884,"chr1",63320000,63330000,"ENST00000771637.1","ENSG00000300433"
"chr1",63329863,63329890,27,"-","chr1","-",63329571,63332570,"chr1",63320000,63330000,"ENST00000771640.1","ENSG00000300433"
"chr1",63329920,63329965,45,"-","chr1","-",63329571,63332570,"chr1",63320000,63330000,"ENST00000771640.1","ENSG00000300433"
"chr1",75124627,75124672,45,"-","chr1","-",75124364,75127363,"chr1",75120000,75130000,"ENST00000794292.1","ENSG00000303412"
"chr1",75125335,75125363,28,"-","chr1","-",75124364,75127363,"chr1",75120000,75130000,"ENST00000794292.1","ENSG00000303412"
"chr1",75125709,75125729,20,"-","chr1","-",75124364,75127363,"chr1",75120000,75130000,"ENST00000794292.1","ENSG00000303412"
"chr1",75125832,75125852,20,"-","chr1","-",75124364,75127363,"chr1",75120000,75130000,"ENST00000794292.1","ENSG00000303412"
"chr1",75124627,75124672,45,"-","chr1","-",75122928,75125927,"chr1",75120000,75130000,"ENST00000565735.1","ENSG00000261213"
"chr1",75125335,75125363,28,"-","chr1","-",75122928,75125927,"chr1",75120000,75130000,"ENST00000565735.1","ENSG00000261213"
"chr1",75125709,75125729,20,"-","chr1","-",75122928,75125927,"chr1",75120000,75130000,"ENST00000565735.1","ENSG00000261213"
"chr1",75125832,75125852,20,"-","chr1","-",75122928,75125927,"chr1",75120000,75130000,"ENST00000565735.1","ENSG00000261213"
"chr1",92485931,92485974,43,"-","chr1","-",92485926,92488925,"chr1",92480000,92490000,"ENST00000294702.6","GFI1"
"chr1",92486184,92486210,26,"-","chr1","-",92485926,92488925,"chr1",92480000,92490000,"ENST00000294702.6","GFI1"
"chr1",92486274,92486305,31,"-","chr1","-",92485926,92488925,"chr1",92480000,92490000,"ENST00000294702.6","GFI1"
"chr1",92486478,92486505,27,"-","chr1","-",92485926,92488925,"chr1",92480000,92490000,"ENST00000294702.6","GFI1"
"chr1",92486519,92486552,33,"-","chr1","-",92485926,92488925,"chr1",92480000,92490000,"ENST00000294702.6","GFI1"
"chr1",92483111,92483166,55,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92483503,92483543,40,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92483833,92483874,41,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92484252,92484297,45,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485053,92485089,36,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485481,92485520,39,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485733,92485771,38,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485777,92485815,38,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485931,92485974,43,"-","chr1","-",92482955,92485954,"chr1",92480000,92490000,"ENST00000370332.5","GFI1"
"chr1",92485481,92485520,39,"-","chr1","-",92485098,92488097,"chr1",92480000,92490000,"ENST00000427103.6","GFI1"
"chr1",92485733,92485771,38,"-","chr1","-",92485098,92488097,"chr1",92480000,92490000,"ENST00000427103.6","GFI1"
"chr1",92485777,92485815,38,"-","chr1","-",92485098,92488097,"chr1",92480000,92490000,"ENST00000427103.6","GFI1"
"chr1",92485931,92485974,43,"-","chr1","-",92485098,92488097,"chr1",92480000,92490000,"ENST00000427103.6","GFI1"
"chr1",92486184,92486210,26,"-","chr1","-",92485098,92488097,"chr1",92480000,92490000,"ENST00000427103.6","GFI1"
